Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2022-0509;Queja;Anulada;2022-06-06;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;
2022-0514;Queja;Contestado;2022-06-06;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Desacuerdo con reducción horario de clase
2022-0516;Queja;Inadmitida;2022-06-06;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SERVICIOS CENTRALES;Inadmitida por no ser una queja contra el mal funcionamiento de la adminisstración sino contra una empresa.
2022-0518;Sugerencia;Contestado;2022-06-06;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Centros Programa Conciliamos
2022-0508;Queja;Contestado;2022-06-04;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Queja por reducción horario esscolar
2022-0507;Queja;Anulada;2022-06-04;WEB;CONSEJERIA DE LA PRESIDENCIA;PALENCIA;Se acumula a la Queja
2022-0506;Sugerencia;Contestado;2022-06-03;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El interesado sugiere trasladar los árboles que se van a cortar por las obras de la rotonda de Peñas del Erizo
2022-0505;Queja;Contestado;2022-06-03;ESCRITO;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Falta de información solicitud plaza RED ACTIVA 2022
2022-0504;Queja;Contestado;2022-06-03;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;NO VEÍA LO QUE ME PREGUNTABA POR SU DISCAPACIDAD
2022-0500;Queja;Contestado;2022-06-02;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;IMPOSIBILIDAD DE RESERVA DE PERMISOS AREC PARA ÓRBIGO, MARNE Y PUENTE PAULÓN.
2022-0501;Queja;Contestado;2022-06-02;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SEGOVIA;La interesada se queja por el tema de las novatadas en la Residencia Juvenil Emperador Teodosio
2022-0502;Queja;Contestado;2022-06-02;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;NO CONCESIÓN DE AYUDA
2022-0503;Queja;Contestado;2022-06-02;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;ESPERA FUERA DEL EDIFICIO
2022-0499;Queja;Contestado;2022-06-01;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Insuficientes servicios de comedor CONCILIAMOS VERANO 2022
2022-0498;Queja;Inadmitida;2022-05-31;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;lista de espera
2022-0496;Queja;Contestado;2022-05-31;OAMR;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;MUSEO LEÓN FALTA DE ACCESIBILIDAD PARA PERSONA CON DISCAPACIDAD
2022-0497;Queja;Inadmitida;2022-05-31;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;lista espera
2022-0489;Queja;Contestado;2022-05-30;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;12
2022-0490;Queja;Contestado;2022-05-30;WEB;GERENCIA REGIONAL DE SALUD;LEÓN;Problemas para lograr cita
2022-0491;Queja;Contestado;2022-05-30;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;Se niegan a registrarle un documento a las 13.59
2022-0492;Queja;Contestado;2022-05-30;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;FALTA DE PAPEL HIGIENICO EN LOS BAÑOS
2022-0495;Sugerencia;Contestado;2022-05-30;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;S-
2022-0488;Queja;Contestado;2022-05-30;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SEGOVIA;El interesado envía nueva documentación que completa la queja
2022-0493;Queja;Inadmitida;2022-05-30;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;
2022-0494;Queja;Remitido a Cons/DT;2022-05-30;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;
2022-0487;Queja;Contestado;2022-05-29;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por  tener que realizar trámites telemáticos con el navegadorInternet explorer. debería actualizrse ya que el 15 de junio deja de recibir soporte
2022-0485;Queja;Anulada;2022-05-28;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;
2022-0486;Queja;Contestado;2022-05-28;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;Queja a la hora de realizar un exámen
2022-0481;Queja;Anulada;2022-05-27;OAMR;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;
2022-0482;Queja;Contestado;2022-05-27;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;AVILA;PROBLEMAS CON EL ACTO DE REGISTRO DE UN FUNCIONARIO
2022-0483;Queja;Contestado;2022-05-27;OAMR;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;REGISTRO SIMOCYL
2022-0484;Queja;Contestado;2022-05-27;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;El interesado se queja de trato recibido por .., de personal en el S.T. de Agricultura
2022-0479;Queja;Inadmitida;2022-05-26;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;
2022-0477;Queja;Contestado;2022-05-26;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por la necesidad de cita previa para cualquir trámite o incidencia en los trámites. la cita previa deber ser una opción a la presencia física
2022-0478;Queja;Contestado;2022-05-26;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;Pide horario antes de pandemia
2022-0480;Queja;Inadmitida;2022-05-26;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;
2022-0472;Queja;Contestado;2022-05-25;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;sede
2022-0475;Queja;Contestado;2022-05-25;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por tener que pagar el alquiler equipos de medidas , siendo de su propiedad
2022-0474;Queja;Contestado;2022-05-25;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por la falta de citas previas para trámites urgentes
2022-0476;Queja;Contestado;2022-05-25;WEB;GERENCIA DE SERVICIOS SOCIALES;BURGOS;AISLAMIENTO POR COVID PERSONA CON DETERIORO COGNITIVO
2022-0471;Queja;Anulada;2022-05-25;WEB;GERENCIA DE SERVICIOS SOCIALES;BURGOS;
2022-0473;Queja;Contestado;2022-05-25;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Falta respuesta a solicitud informe
2022-0466;Queja;Contestado;2022-05-24;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Obligatoriedad cita para realizar trámites ESAUM León
2022-0468;Queja;Remitido Órgano;2022-05-24;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Protocolo covid en guarderias
2022-0470;Sugerencia;Contestado;2022-05-24;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;En relación con la firma electrónica de la solicitud del Bono Concilia
2022-0467;Queja;Contestado;2022-05-24;OAMR;SERVICIO PUBLICO DE EMPLEO;SEGOVIA;El interesado pone una reclamación al modo de actuar en las ofertas de trabjo para personas con discapacidad
2022-0469;Queja;Remitido Órgano;2022-05-24;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;protocolo covid en guarderias
2022-0463;Queja;Contestado;2022-05-23;WEB;GERENCIA DE SERVICIOS SOCIALES;SORIA;Negativa a emitir duplicado tarjeta de discapacidad
2022-0464;Queja;Contestado;2022-05-23;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;Solicita se sancione a su arrendador por no facilitarle certificado eficiencia energética
2022-0465;Queja;Remitido Órgano;2022-05-23;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;DUPLICADO TARJETA DISCAPCIDAD
2022-0462;Queja;Anulada;2022-05-23;BUZON;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;REPETIDA (MISMA QQUEJA QUE LA NUMERO
2022-0461;Queja;Contestado;2022-05-21;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Queja contra la convocatoria del Bono Concilia por discriminación contra las familias monoparentales.
2022-0460;Queja;Contestado;2022-05-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0451;Queja;Anulada;2022-05-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;ANULADA POR SER IGUAL A LA QUEJA
2022-0452;Queja;Anulada;2022-05-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;anulada por ser igual a la
2022-0457;Queja;Contestado;2022-05-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q
2022-0459;Queja;Contestado;2022-05-19;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;RETRASO O DEMORA EN LA ATENCIÓN AL PÚBLICO
2022-0453;Queja;Anulada;2022-05-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;anulada por ser igual que la
2022-0454;Queja;Contestado;2022-05-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;Ruido por depuradora de aguas residuales
2022-0455;Queja;Contestado;2022-05-19;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por falta de atencion directa para gestionar la liquidación de impuestos por parte de las oficinas
2022-0456;Queja;Contestado;2022-05-19;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;La interesada se queja de la forma de realizar las notificaciones
2022-0458;Queja;Contestado;2022-05-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Transporte a la demanda
2022-0448;Queja;Contestado;2022-05-18;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;salud bucodental
2022-0446;Queja;Contestado;2022-05-18;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SORIA;No se proporciona transporte adaptado que sí dispone el centro.
2022-0447;Queja;Contestado;2022-05-18;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;FALTA DE ATENCIÓN TELEFÓNICA
2022-0449;Queja;Contestado;2022-05-18;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;LEÓN;Ruidos equipo refrigeración
2022-0450;Queja;Inadmitida;2022-05-18;Servicio 012;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SORIA;
2022-0443;Queja;Contestado;2022-05-17;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;FALTA DE COBERTURA DE TELEFONÍA MOVIL EN EL AYTO. DE OENCIA (LEÓN) Y SUS ALREDEDORES.
2022-0445;Queja;Inadmitida;2022-05-17;Servicio 012;CONSEJERIA DE EDUCACION;VALLADOLID;
2022-0444;Queja;Contestado;2022-05-17;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Error en registro
2022-0441;Queja;Contestado;2022-05-16;WEB;CONSEJERIA DE CULTURA Y TURISMO;SALAMANCA;incumplimiento carta de servicios biblioteca Casa de las Conchas
2022-0442;Queja;Contestado;2022-05-16;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;La interesada se queja de la poca información de un expdiente
2022-0437;Queja;Anulada;2022-05-14;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;AVILA;REPETIDA ES IGUAL A LA QUEJA
2022-0438;Queja;Contestado;2022-05-14;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;FALTA DE HOTELES PARA ALOJARSE DURANTE LA CELEBRACIÓN DEL EVENTO MÚSICOS EN LA NATURALEZA POR ENCONTRARSE BLOQUEADOS POR LA JUNTA DE CYL.
2022-0439;Queja;Contestado;2022-05-14;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;llegan dos cartas por libro no entregado
2022-0440;Sugerencia;Contestado;2022-05-14;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;presupuestos
2022-0436;Queja;Contestado;2022-05-13;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;DEFICIENCIAS EN CONEXION WIFI
2022-0435;Queja;Contestado;2022-05-13;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;El interesado se queja del ruido los viernes
2022-0434;Queja;Contestado;2022-05-12;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SEGOVIA;Problema con Unión Fenosa
2022-0425;Queja;Contestado;2022-05-11;WEB;CONSEJERIA DE CULTURA Y TURISMO;ZAMORA;SIEMPRE DEBE HABER UN PLAN B PARA EL TURIMO.
2022-0426;Queja;Contestado;2022-05-11;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;FALTA DE COBERTURA TELEFÓNICA EN EL TÉRMINO MUNICIPAL DE OENCIA (LEÓN).
2022-0430;Queja;Contestado;2022-05-11;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;ZAMORA;PARA NADA TIENE UNO QUE PEDIR CITA
2022-0433;Sugerencia;Prestacional;2022-05-11;WEB;GERENCIA REGIONAL DE SALUD;PALENCIA;
2022-0427;Queja;Contestado;2022-05-11;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;bolsa SACYL
2022-0429;Queja;Contestado;2022-05-11;ESCRITO;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;arcos de jalón
2022-0431;Queja;Remitido a Cons/DT;2022-05-11;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;
2022-0432;Sugerencia;Contestado;2022-05-11;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Bolsa SACYL
2022-0428;Queja;Contestado;2022-05-11;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Bolsa SACYL
2022-0424;Queja;Remitido a Cons/DT;2022-05-10;Servicio 012;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;
2022-0423;Queja;Contestado;2022-05-10;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Trabas burocráticas para la realización de actividades de tiempo libre en Castilla y León
2022-0421;Queja;Contestado;2022-05-09;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;CONCESIÓN DE USO DE PIROTECNIA EN FIESTAS DEL BARRIO DE LAS VACAS.
2022-0422;Sugerencia;Contestado;2022-05-09;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;SOLICITA APERTURA SALA ESTUDIOS
2022-0420;Queja;Contestado;2022-05-09;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por no poder pagar con tarjeta de cualquier banco  y no poder igualmente con dinero de curso legal
2022-0419;Queja;Contestado;2022-05-08;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SORIA;Museo de ambrona Cerrado en horario de apertura sin aviso
2022-0417;Queja;Contestado;2022-05-06;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;VALLADOLID;No contento con forma de actuar
2022-0418;Queja;Remitido a Cons/DT;2022-05-06;OAMR;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;Competencia de Servicios Centrales. Falta de capacidad de aplicación informatica para envio de archivos a otra Administración
2022-0413;Queja;Contestado;2022-05-05;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;ZAMORA;Falta de cierta documentación
2022-0414;Queja;Contestado;2022-05-05;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;PALENCIA;Falta de personal en el registro de la oficina de Aguilar
2022-0415;Queja;Contestado;2022-05-05;ESCRITO;EPDP - INSTITUTO TECNOLOGICO AGRARIO;SERVICIOS CENTRALES;Disconformidad por falta de actuación del personal del ITACyl ante posibles irregularidades de particulares y empresas en el proceso de concentración parcelaria de la zona.
2022-0416;Sugerencia;Contestado;2022-05-05;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;MAL ESTADO DE CONSERVACIÓN CASTILLO DE GORMAZ
2022-0412;Queja;Contestado;2022-05-05;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;SOLICITUD DE DISFRUTE DE COTO DE PESCA EN FECHA POSTERIOR POR HABERLE IMPEDIDO SU EJERCICIO A TIEMPO INFECCIÓN POR COVID-19.
2022-0410;Queja;Contestado;2022-05-04;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;ECLAP
2022-0409;Queja;Anulada;2022-05-04;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;VALLADOLID;
2022-0411;Queja;Contestado;2022-05-04;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por ser necesaria una cita previa para hacer una consulta del modelo 600, observando que los mostradores están vacios
2022-0400;Queja;Contestado;2022-05-03;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;dietas
2022-0402;Queja;Contestado;2022-05-03;ESCRITO;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Disconformidad con respecto a las bases Red Activa 2022
2022-0403;Queja;Contestado;2022-05-03;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA PERSONAL
2022-0406;Queja;Contestado;2022-05-03;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA PERSONAL
2022-0408;Sugerencia;Contestado;2022-05-03;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;MEJORA SISTEMA INSCRIPCION
2022-0399;Queja;Contestado;2022-05-03;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;...
2022-0401;Queja;Contestado;2022-05-03;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;ZAMORA;Construcción de antena repetidora
2022-0404;Queja;Contestado;2022-05-03;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0405;Queja;Contestado;2022-05-03;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY PERSONAL
2022-0407;Sugerencia;Contestado;2022-05-03;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;Pide mejores accesos en el edificio
2022-0398;Queja;Contestado;2022-04-29;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;AVILA;OBSERVACIÓN DOCUMENTO PRIVADO
2022-0396;Queja;Contestado;2022-04-28;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-0397;Queja;Contestado;2022-04-28;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;RECLAMACIÓN DE CONTESTACIÓN A ASEGURADORA POR DESPERFECTOS TRAS PERCANCE EN VEHÍCULO POR EL MAL ESTADO DE LA CALZADA.
2022-0393;Queja;Contestado;2022-04-27;Servicio 012;CONSEJERIA DE EDUCACION;BURGOS;Parada del autobus escolar inadecuada
2022-0395;Queja;Contestado;2022-04-27;WEB;CONSEJERIA DE EDUCACION;ZAMORA;Comunicaciones administrativas por correo electrónico
2022-0391;Queja;Anulada;2022-04-27;WEB;CONSEJERIA DE EDUCACION;ZAMORA;Comunicaciones x correo eledctrónico. HAY UNA IGUAL LA N.
2022-0392;Queja;Contestado;2022-04-27;Servicio 012;CONSEJERIA DE EDUCACION;BURGOS;Conducta del chofer en ruta de transporte escolar
2022-0394;Queja;Contestado;2022-04-27;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;LINEA DE TRANSPORTE MADRID-AVILA
2022-0385;Queja;Contestado;2022-04-26;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por la obligación de tener que utilizar internet explorer para trámites electrónicos
2022-0384;Queja;Contestado;2022-04-26;Servicio 012;CONSEJERIA DE EMPLEO E  INDUSTRIA;VALLADOLID;Se queja de que no le cogen el tfno
2022-0386;Queja;Contestado;2022-04-26;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;Se queja por barreras arquitectónicas
2022-0387;Queja;Contestado;2022-04-26;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;Se queja no ascensor para minusválidos
2022-0388;Queja;Contestado;2022-04-26;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;PALENCIA;retraso Valoracion dependencia
2022-0390;Sugerencia;Contestado;2022-04-26;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;S
2022-0389;Sugerencia;Contestado;2022-04-26;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;...
2022-0382;Queja;Contestado;2022-04-25;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;RETRASO EN EL RECONOCIMIENTO DEL GRADO DE DEPENDENCIA
2022-0381;Queja;Contestado;2022-04-25;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;PUESTRO DE TRABAJO EN CENTRO PENITENCIARIO DE BRIEVA
2022-0383;Sugerencia;Contestado;2022-04-25;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;sugerencia
2022-0380;Queja;Contestado;2022-04-23;WEB;CONSEJERIA DE EDUCACION;BURGOS;aforo del comedor escolar Colegio Vadillos
2022-0378;Queja;Inadmitida;2022-04-21;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;VALLADOLID;
2022-0377;Queja;Contestado;2022-04-21;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por no poder utilizar en la ofiocina virtual de tributos  el certificado de la empresa camerfirma
2022-0379;Sugerencia;Contestado;2022-04-21;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;SUGERENCIA PARA QUE LOS CAMPOS SE RELLENEN DE MANERA AUTOMÁTICA AL IDENTIFICARSE CON CERTIFICADO DIGITAL.
2022-0376;Queja;Contestado;2022-04-21;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q popr el cobro y las dificultades para utilizar el programa de los registros de certificacion energética
2022-0364;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO PERSONAL EN EL REGISTRO
2022-0367;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0372;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0361;Queja;Contestado;2022-04-20;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;sobre retraso pago por colaboración jornada electoral
2022-0370;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0362;Queja;Contestado;2022-04-20;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;La interesada se queja del mal estado del pavimento de acceso a la ermita de San frutos
2022-0363;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA PERSONAL
2022-0365;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY PERSONAL
2022-0366;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0368;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0369;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY GENTE
2022-0371;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0373;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;FALTA DE PERSONAL
2022-0374;Queja;Contestado;2022-04-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY PERSONAL
2022-0375;Sugerencia;Contestado;2022-04-20;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;mejora
2022-0360;Queja;Contestado;2022-04-19;ESCRITO;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Problemas accesibilidad
2022-0359;Queja;Contestado;2022-04-19;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;HOSPITALIZACIÓN
2022-0357;Queja;Remitido Órgano;2022-04-18;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Suspensión excursión
2022-0356;Queja;Contestado;2022-04-18;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Disconformidad ante la igualdad de trato a gente con o sin licencia de pesca
2022-0355;Queja;Contestado;2022-04-18;WEB;GERENCIA DE SERVICIOS SOCIALES;SEGOVIA;El interesado se queja porque no ha recibido contestación a un trámite solicitado
2022-0358;Sugerencia;Contestado;2022-04-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Buscador Sigpac
2022-0354;Queja;Contestado;2022-04-14;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Queja por el exceso de tiempo empleado a la hora de presentar documentación de manera telemática
2022-0353;Queja;Contestado;2022-04-13;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;servicio de seguridad de entrada /accceso al sepe
